"State","PercentHighSchoolOrHigher","PercentBachelorsOrHigher"
"Montana","93.2000","31.2000"
"Minnesota","93","35.4000"
"Wyoming","92.9000","26.9000"
"New Hampshire","92.9000","36.5000"
"Alaska","92.7000","29.2000"
"Vermont","92.6000","37.3000"
"North Dakota","92.5000","29.5000"
"Maine","92.3000","30.9000"
"Utah","92","33.3000"
"Iowa","92","28.2000"
"Wisconsin","91.9000","29.5000"
"Hawaii","91.8000","32.5000"
"South Dakota","91.7000","28.5000"
"Colorado","91.4000","40.1000"
"Washington","91.1000","35.3000"
"Nebraska","91.1000","31.3000"
"Kansas","90.7000","32.9000"
"Idaho","90.6000","26.9000"
"Washington DC","90.6000","57.6000"
"Michigan","90.5000","28.6000"
"Connecticut","90.5000","38.9000"
"Oregon","90.4000","32.9000"
"Massachusetts","90.4000","42.9000"
"Pennsylvania","90.2000","30.8000"
"Ohio","90.1000","27.8000"
"Maryland","90","39.6000"
"Delaware","89.8000","31.4000"
"Missouri","89.6000","28.6000"
"New Jersey","89.5000","38.9000"
"Virginia","89.3000","38.2000"
"Illinois","88.9000","34.1000"
"Indiana","88.6000","25.9000"
"Rhode Island","88","33.3000"
"Florida","88","29.2000"
"Oklahoma","87.8000","25.2000"
"North Carolina","87.4000","30.5000"
"South Carolina","87.1000","27.4000"
"Tennessee","87","26.6000"
"Arizona","86.8000","28.9000"
"Georgia","86.7000","30.7000"
"West Virginia","86.5000","20.3000"
"New York","86.5000","35.9000"
"Nevada","86.3000","24.2000"
"Arkansas","86.2000","22.6000"
"Alabama","85.8000","24.9000"
"Kentucky","85.7000","23.6000"
"New Mexico","85.3000","27.1000"
"Louisiana","84.8000","23.7000"
"Mississippi","83.9000","21.8000"
"Texas","83.2000","29.3000"
"California","82.9000","33.3000"
"Puerto Rico","75.5000","25.3000"